X,Y,10/27/2021,12/14/2021,3/4/2022,3/20/2022,3/28/2022,4/13/2022,4/21/2022,1/26/2024,1/29/2024
600521.0407,3628722.9981,27.5648,25.7659,27.3969,30.2745,28.9393,29.8246,29.9065,27.4389,25.6804
600521.0407,3628722.8089,27.5858,25.7232,27.3339,30.5802,28.8151,29.7631,30.8443,27.5229,25.6163
600521.0407,3628722.6197,27.4599,25.7232,27.3339,30.9862,28.7115,29.8861,30.8849,27.5439,25.6591
600521.0407,3628722.4305,27.2918,25.5521,27.3129,30.9862,28.6908,29.9065,31.1077,27.5439,25.5949
600521.0407,3628722.2414,27.1866,25.6591,27.3129,31.9341,28.5663,30.1111,31.0672,27.5439,25.5735
600521.0407,3628722.0522,27.1235,25.5949,27.2918,32.3548,28.4832,30.0703,31.0672,27.4599,25.6163
600521.2299,3628724.8901,29.1046,25.6377,27.4809,29.9475,28.7115,29.7836,30.6005,27.6068,24.3457
600521.2299,3628724.7009,28.9393,25.5949,27.4809,28.8979,28.6493,29.8041,30.4987,27.5648,24.4107
600521.2299,3628724.5117,28.8358,25.6804,27.4389,29.3314,28.7115,29.9065,30.5802,27.5648,24.4540
600521.2299,3628724.3225,28.6700,25.5949,27.5019,30.2949,28.6908,29.9065,30.6818,27.5439,24.4973
600521.2299,3628724.1333,28.6286,25.7018,27.4389,30.3153,28.7737,29.9065,30.2949,27.4809,24.4973
600521.2299,3628723.9441,28.5455,25.9153,27.5019,28.6700,28.7737,29.8861,30.0498,27.5229,24.5190
600521.2299,3628723.7549,28.4625,25.8513,27.3549,29.5372,29.1046,29.9680,30.0498,27.4809,24.4973
600521.2299,3628723.5657,28.3169,26.0006,27.3969,29.5372,29.1046,30.0089,29.9270,27.4809,25.5949
600521.2299,3628723.3765,27.9834,25.9153,27.3549,29.9475,29.0219,29.9270,29.9270,27.4809,25.6377
600521.2299,3628723.1873,27.8162,25.7018,27.3759,30.1111,28.9393,29.7836,29.6810,27.4389,25.6377
600521.2299,3628722.9981,27.5858,25.6591,27.3339,30.2949,28.8565,29.7426,29.7836,27.4599,25.6591
600521.2299,3628722.8089,27.4599,25.6804,27.3549,30.7225,28.8565,29.7631,30.5191,27.5858,25.6591
600521.2299,3628722.6197,27.3339,25.6804,27.3339,30.8849,28.7322,29.8451,30.5191,27.5648,25.5949
600521.2299,3628722.4305,27.3339,25.5307,27.3129,31.6527,28.7115,29.8451,30.9457,27.4809,25.6377
600521.2299,3628722.2414,27.1656,25.6377,27.3129,31.7935,28.5663,29.9680,30.9862,27.5439,25.6591
600521.2299,3628722.0522,27.0392,25.6163,27.3339,31.6728,28.6286,29.9680,30.7021,27.4179,25.5949
600521.2299,3628721.8630,26.9126,25.5949,27.1866,31.9141,28.5455,30.0089,30.6615,27.4599,25.6163
600521.2299,3628721.6738,27.0392,25.3592,27.2287,31.5923,28.6078,29.9270,30.9457,27.4179,25.5735
600521.4191,3628725.0793,29.2902,25.5735,27.4179,30.3765,28.7322,29.8656,30.4376,27.5439,24.3024
600521.4191,3628724.8901,29.0839,25.4878,27.4809,30.2541,28.6908,29.8656,30.4580,27.6068,24.3024
600521.4191,3628724.7009,28.9393,25.5093,27.4599,29.7836,28.6286,29.8656,30.5802,27.6068,24.2807
600521.4191,3628724.5117,28.7737,25.5307,27.4599,28.8772,28.6286,29.9270,30.5395,27.6068,24.3891
600521.4191,3628724.3225,28.6286,25.6163,27.4179,29.7631,28.6700,29.9475,30.6818,27.5858,24.3891
600521.4191,3628724.1333,28.6286,25.6804,27.4389,30.2949,28.6908,29.8041,30.3561,27.5439,24.5190
600521.4191,3628723.9441,28.4832,25.6591,27.3969,30.3357,28.6908,29.8656,29.7426,27.5858,24.5190
600521.4191,3628723.7549,28.2961,25.6377,27.4179,28.8979,28.9393,29.8656,29.7426,27.5858,24.4973
600521.4191,3628723.5657,28.1294,25.7232,27.3759,29.1665,29.0013,29.9270,29.8041,27.5439,24.4973
600521.4191,3628723.3765,27.8371,25.6804,27.3759,29.8861,28.8979,29.9270,29.7015,27.4809,24.4757
600521.4191,3628723.1873,27.6696,25.6377,27.3549,30.2745,28.8979,29.7631,29.6810,27.4599,25.6163
600521.4191,3628722.9981,27.4389,25.7232,27.3549,30.2745,28.9186,29.7836,29.4549,27.5229,25.6163
600521.4191,3628722.8089,27.3129,25.6163,27.2918,31.1482,28.9393,29.9065,30.2133,27.5648,25.5949
600521.4191,3628722.6197,27.2498,25.5949,27.2918,31.3301,28.8979,29.8656,30.0907,27.5439,25.6163
600521.4191,3628722.4305,27.2287,25.6377,27.2918,31.1482,28.7530,29.8861,30.6818,27.5019,25.5521
600521.4191,3628722.2414,26.9759,25.6163,27.2708,30.7225,28.6078,29.8451,30.5598,27.5019,25.6377
600521.4191,3628722.0522,26.8492,25.6163,27.2287,30.8240,28.4625,29.8861,30.5598,27.4179,25.6163
600521.4191,3628721.8630,26.7436,25.4878,27.2498,30.3153,28.4625,29.7631,30.4173,27.3969,25.5307
600521.4191,3628721.6738,26.7436,25.4021,27.1866,29.7631,28.5040,29.9270,30.5395,27.4809,25.5093
600521.4191,3628721.4846,26.8070,25.4236,27.2287,29.3108,28.6700,29.8656,31.0267,27.5439,25.5307
600521.4191,3628721.2954,26.9548,25.4021,27.2287,29.6399,28.7322,29.7836,31.5520,27.4389,25.4878
600521.4191,3628721.1062,26.8070,25.4021,27.1866,30.2745,28.6493,29.5783,31.7131,27.4599,25.5093
600521.6083,3628725.0793,29.1665,25.5949,27.4809,30.4784,28.6286,29.9065,30.2133,27.5858,24.3891
600521.6083,3628724.8901,28.9393,25.4878,27.4599,30.2949,28.6078,29.8451,30.2541,27.5439,24.3024
600521.6083,3628724.7009,28.6908,25.4878,27.4179,30.2949,28.6908,29.9270,30.2745,27.6068,24.3674
600521.6083,3628724.5117,28.3169,25.5949,27.3969,29.5166,28.6908,29.9270,30.4784,27.5648,24.2807
600521.6083,3628724.3225,28.0877,25.5949,27.3549,29.8861,28.6908,29.9680,30.5395,27.6068,24.3024
600521.6083,3628724.1333,28.5248,25.6804,27.3549,30.2949,28.6286,29.8451,30.2949,27.5439,24.3674
600521.6083,3628723.9441,28.4001,25.7018,27.3759,30.2745,28.7944,29.7220,29.3108,27.6068,24.2807
600521.6083,3628723.7549,28.3377,25.7873,27.3759,28.9806,28.8772,29.7220,29.1665,27.5858,24.4540
